Hello,Bonjour
Goodbye,Au revoir
Please,S'il vous plaît
Thank you,Merci
Yes,Oui
No,Non
Excuse me,Excusez-moi
Sorry,Désolé
Good morning,Bonjour
Good night,Bonne nuit
How are you?,Comment ça va ?
I'm fine,Je vais bien
What is your name?,Comment vous appelez-vous ?
My name is ...,Je m'appelle ...
Nice to meet you,Enchanté
I don't understand,Je ne comprends pas
Do you speak English?,Parlez-vous anglais ?
I speak a little French,Je parle un peu français
Where is the bathroom?,Où sont les toilettes ?
How much is this?,Combien ça coûte ?
Can you help me?,Pouvez-vous m'aider ?
I'm lost,Je suis perdu
What time is it?,Quelle heure est-il ?
I need...,J'ai besoin de ...
Water,Eau
Food,Nourriture
Coffee,Café
Tea,Thé
Breakfast,Petit déjeuner
Lunch,Déjeuner
Dinner,Dîner
Bread,Pain
Fruit,Fruit
Vegetable,Légume
Meat,Viande
Fish,Poisson
Chicken,Poulet
Rice,Riz
Salt,Sel
Pepper,Poivre
Sugar,Sucre
Milk,Lait
Egg,Oeuf
Butter,Beurre
Cheese,Fromage
Wine,Vin
Beer,Bière
Hotel,Hôtel
Restaurant,Restaurant
Train,Train
Bus,Bus
Taxi,Taxi
Airport,Aéroport
Station,Gare
Ticket,Billet
Map,Carte
Bank,Banque
Hospital,Hôpital
Police station,Commissariat de police
Pharmacy,Pharmacie
Doctor,Médecin
I need a doctor,J'ai besoin d'un médecin
Help!,Au secours !
Danger,Danger
Fire,Feu
Stop,Arrêtez
Wait,Attendez
Go,Vas-y
Come,Venez
Left,Gauche
Right,Droite
Straight ahead,Tout droit
Here,Ici
There,Là-bas
Now,Maintenant
Later,Plus tard
Today,Aujourd'hui
Tomorrow,Demain
Yesterday,Hier
Morning,Matin
Afternoon,Après-midi
Evening,Soirée
Night,Nuit
Week,Semaine
Weekend,Week-end
Monday,Lundi
Tuesday,Mardi
Wednesday,Mercredi
Thursday,Jeudi
Friday,Vendredi
Saturday,Samedi
Sunday,Dimanche
Friend,Ami
Family,Famille
Father,Père
Mother,Mère
Brother,Frère
Sister,Sœur
Son,Fils
Daughter,Fille
Husband,Mari
Wife,Femme
Child,Enfant
Man,Homme
Woman,Femme
Boy,Garçon
Girl,Fille
Old,Vieux
Young,Jeune
Happy,Heureux
Sad,Triste
Angry,En colère
Tired,Fatigué
Hungry,Affamé
Thirsty,Assoiffé
Hot,Chaud
Cold,Froid
Big,Grand
Small,Petit
Fast,Rapide
Slow,Lent
Easy,Facile
Difficult,Difficile
Expensive,Cher
Cheap,Bon marché
New,Nouveau
Old (object),Vieux
Beautiful,Beau
Ugly,Moche
Good,Bon
Bad,Mauvais
Clean,Propre
Dirty,Sale
Full,Plein
Empty,Vide
Open,Ouvert
Closed,Fermé
Light,Lumière
Dark,Sombre
Soft,Doux
Hard,Dur
Wet,Mouillé
Dry,Séché
Near,Près
Far,Loin
Above,Au-dessus
Below,En dessous
In front,Devant
Behind,Derrière
Inside,À l'intérieur
Outside,À l'extérieur
Together,Ensemble
Alone,Seul
Maybe,Peut-être
Always,Toujours
Never,Jamais
Sometimes,Parfois
Often,Souvent
Rarely,Rarement
Before,Avant
After,Après
Because,Parce que
But,Mais
And,Et
Or,Ou
If,Si
When,Quand
Who,Qui
What,Quoi
Where,Où
Why,Pourquoi
How,Comment
I like...,J'aime...
I love...,J'adore...
I hate...,Je déteste...
I'm hungry,J'ai faim
I'm thirsty,J'ai soif
I'm tired,Je suis fatigué
I'm sick,Je suis malade
I'm happy,Je suis heureux
I'm sad,Je suis triste
See you later,À plus tard
Good luck,Bonne chance
Congratulations,Félicitations
What’s this?,Qu'est-ce que c'est ?
How do you say ... in French?,Comment dit-on ... en français ?
Can you repeat?,Pouvez-vous répéter ?
I’m learning French,J'apprends le français
