Hello,Hallo
Goodbye,Auf Wiedersehen
Please,Bitte
Thank you,Danke
Yes,Ja
No,Nein
Excuse me,Entschuldigung
I'm sorry,Es tut mir leid
What,Was
When,Wann
Where,Wo
Why,Warum
Who,Wer
How,Wie
I,Ich
You,Du
He,Er
She,Sie
It,Es
We,Wir
They,Sie
My,Mein
Your,Dein
His,Sein
Her,Ihr
Its,Sein
Our,Unser
Their,Ihr
Man,Mann
Woman,Frau
Boy,Junge
Girl,Mädchen
Friend,Freund
Family,Familie
House,Haus
Car,Auto
Bicycle,Fahrrad
Bus,Bus
Train,Zug
Airport,Flughafen
Station,Bahnhof
Hotel,Hotel
Restaurant,Restaurant
Bank,Bank
Store,Geschäft
School,Schule
Work,Arbeit
Doctor,Arzt
Hospital,Krankenhaus
Police,Polizei
Water,Wasser
Food,Essen
Bread,Brot
Milk,Milch
Coffee,Kaffee
Tea,Tee
Beer,Bier
Wine,Wein
Juice,Saft
Sugar,Zucker
Salt,Salz
Pepper,Pfeffer
Apple,Apfel
Orange,Orange
Banana,Banane
Chicken,Hähnchen
Fish,Fisch
Meat,Fleisch
Vegetables,Gemüse
Fruit,Frucht
Breakfast,Frühstück
Lunch,Mittagessen
Dinner,Abendessen
Morning,Morgen
Afternoon,Nachmittag
Evening,Abend
Night,Nacht
Day,Tag
Week,Woche
Month,Monat
Year,Jahr
Today,Heute
Tomorrow,Morgen
Yesterday,Gestern
Now,Jetzt
Later,Später
Before,Vor
After,Nach
Always,Immer
Never,Niemals
Sometimes,Manchmal
Here,Hier
There,Dort
Far,Weit
Near,Nah
Big,Groß
Small,Klein
Hot,Heiß
Cold,Kalt
New,Neu
Old,Alt
Happy,Glücklich
Sad,Traurig
Beautiful,Schön
Ugly,Hässlich
Fast,Schnell
Slow,Langsam
Expensive,Teuer
Cheap,Billig
Easy,Einfach
Difficult,Schwierig
Hard,Hart
Soft,Weich
Strong,Stark
Weak,Schwach
Clean,Sauber
Dirty,Schmutzig
Full,Voll
Empty,Leer
Light,Licht
Dark,Dunkel
High,Hoch
Low,Niedrig
Right,Rechts
Left,Links
Up,Oben
Down,Unten
Inside,Innen
Outside,Draußen
Open,Offen
Closed,Geschlossen
Start,Anfang
End,Ende
Win,Gewinnen
Lose,Verlieren
Love,Liebe
Like,Mögen
Want,Wollen
Need,Brauchen
Have,Hab
Give,Geben
Take,Nehmen
Come,Kommen
Go,Gehen
Do,Tun
Make,Machen
Say,Sagen
Speak,Sprechen
Listen,Hören
Hear,Hören
See,Sehen
Look,Schauen
Touch,Berühren
Feel,Fühlen
Taste,Schmecken
Smell,Riechen
Stand,Stehen
Sit,Sitzen
Run,Rennen
Walk,Gehen
Jump,Springen
Read,Lesen
Write,Schreiben
Play,Spielen
Work,Arbeiten
Sleep,Schlafen
Eat,Essen
Drink,Trinken
Buy,Kaufen
Sell,Verkaufen
Pay,Zahlen
Help,Helfen
Wait,Warten
Find,Finden
Lose,Verlieren
Know,Wissen
Understand,Verstehen
Remember,Erinnern
Forget,Vergessen
Think,Denken
