Hello,你好,Nǐ hǎo
Thank you,谢谢,Xièxiè
Yes,是,Shì
No,不是,Bù shì
Please,请,Qǐng
Sorry,对不起,Duìbùqǐ
Goodbye,再见,Zàijiàn
Water,水,Shuǐ
Food,食物,Shíwù
How much?,多少钱,Duōshǎo qián?
I don't understand,我不明白,Wǒ bù míngbái
Help,帮助,Bāngzhù
Where?,哪里,Nǎlǐ
Friend,朋友,Péngyǒu
Family,家庭,Jiātíng
House,房子,Fángzi
Bathroom,洗手间,Xǐshǒujiān
Restaurant,餐馆,Cānguǎn
Hotel,酒店,Jiǔdiàn
Airport,机场,Jīchǎng
Train station,火车站,Huǒchēzhàn
Bus,公交车,Gōngjiāochē
Taxi,出租车,Chūzūchē
Left,左边,Zuǒbiān
Right,右边,Yòubiān
Straight ahead,直走,Zhí zǒu
Today,今天,Jīntiān
Tomorrow,明天,Míngtiān
Yesterday,昨天,Zuótiān
Now,现在,Xiànzài
Later,以后,Yǐhòu
Morning,早上,Zǎoshang
Afternoon,下午,Xiàwǔ
Evening,晚上,Wǎnshang
Night,夜晚,Yèwǎn
Day,白天,Báitiān
Week,星期,Xīngqī
Month,月,Yuè
Year,年,Nián
Time,时间,Shíjiān
Minute,分钟,Fēnzhōng
Hour,小时,Xiǎoshí
Day,天,Tiān
Week,周,Zhōu
Month,月份,Yuèfèn
January,一月,Yīyuè
February,二月,Èryuè
March,三月,Sānyuè
April,四月,Sìyuè
May,五月,Wǔyuè
June,六月,Liùyuè
July,七月,Qīyuè
August,八月,Bāyuè
September,九月,Jiǔyuè
October,十月,Shíyuè
November,十一月,Shíyīyuè
December,十二月,Shíèryuè
One,一,Yī
Two,二,Èr
Three,三,Sān
Four,四,Sì
Five,五,Wǔ
Six,六,Liù
Seven,七,Qī
Eight,八,Bā
Nine,九,Jiǔ
Ten,十,Shí
Hundred,百,Bǎi
Thousand,千,Qiān
Monday,星期一,Xīngqīyī
Tuesday,星期二,Xīngqī'èr
Wednesday,星期三,Xīngqīsān
Thursday,星期四,Xīngqīsì
Friday,星期五,Xīngqīwǔ
Saturday,星期六,Xīngqīliù
Sunday,星期日,Xīngqīrì
Teacher,老师,Lǎoshī
Student,学生,Xuéshēng
School,学校,Xuéxiào
Book,书,Shū
Pen,笔,Bǐ
Paper,纸,Zhǐ
Classroom,教室,Jiàoshì
Office,办公室,Bàngōngshì
Library,图书馆,Túshūguǎn
Hospital,医院,Yīyuàn
Doctor,医生,Yīshēng
Nurse,护士,Hùshì
Medicine,药,Yào
Police,警察,Jǐngchá
Firefighter,消防员,Xiāofángyuán
Danger,危险,Wēixiǎn
Safe,安全,Ānquán
Hot,热,Rè
Cold,冷,Lěng
Warm,温暖,Wēnnuǎn
Cool,凉爽,Liángshuǎng
Wind,风,Fēng
Rain,雨,Yǔ
Snow,雪,Xuě
Sunny,晴天,Qíngtiān
Cloudy,多云,Duōyún
Storm,暴风雨,Bàofēngyǔ
City,城市,Chéngshì
Country,国家,Guójiā
Street,街道,Jiēdào
Road,马路,Mǎlù
Mountain,山,Shān
River,河流,Héliú
Ocean,海洋,Hǎiyáng
Beach,海滩,Hǎitān
Forest,森林,Sēnlín
Park,公园,Gōngyuán
Garden,花园,Huāyuán
Tree,树,Shù
Flower,花,Huā
Grass,草,Cǎo
Dog,狗,Gǒu
Cat,猫,Māo
Bird,鸟,Niǎo
Fish,鱼,Yú
Horse,马,Mǎ
Cow,牛,Niú
Sheep,羊,Yáng
Chicken,鸡,Jī
Pig,猪,Zhū
Snake,蛇,Shé
Elephant,大象,Dàxiàng
Monkey,猴子,Hóuzi
Lion,狮子,Shīzi
Tiger,老虎,Lǎohǔ
Bear,熊,Xióng
Food,食物,Shíwù
Bread,面包,Miànbāo
Rice,米饭,Mǐfàn
Noodles,面条,Miàntiáo
Vegetable,蔬菜,Shūcài
Fruit,水果,Shuǐguǒ
Apple,苹果,Píngguǒ
Banana,香蕉,Xiāngjiāo
Orange,橙子,Chéngzi
Grapes,葡萄,Pútáo
Meat,肉,Ròu
Chicken (meat),鸡肉,Jīròu
Beef,牛肉,Niúròu
Pork,猪肉,Zhūròu
Fish (meat),鱼肉,Yúròu
Egg,鸡蛋,Jīdàn
Soup,汤,Tāng
Salt,盐,Yán
Sugar,糖,Táng
Tea,茶,Chá
Coffee,咖啡,Kāfēi
Juice,果汁,Guǒzhī
Milk,牛奶,Niúnǎi
Beer,啤酒,Píjiǔ
Wine,葡萄酒,Pútáojiǔ
Money,钱,Qián
Price,价格,Jiàgé
Cheap,便宜,Piányí
Expensive,贵,Guì
Buy,买,Mǎi
Sell,卖,Mài
Open,打开,Dǎkāi
Close,关闭,Guānbì
Shop,商店,Shāngdiàn
Market,市场,Shìchǎng
Mall,购物中心,Gòuwù zhōngxīn
Phone,手机,Shǒujī
Computer,电脑,Diànnǎo
TV,电视,Diànshì
Internet,互联网,Hùliánwǎng
Email,电子邮件,Diànzǐ yóujiàn
Car,汽车,Qìchē
Bicycle,自行车,Zìxíngchē
Motorcycle,摩托车,Mótuōchē
Airplane,飞机,Fēijī
Boat,船,Chuán
Train,火车,Huǒchē
Bus,公交车,Gōngjiāochē
Taxi,出租车,Chūzūchē
Ticket,票,Piào
Seat,座位,Zuòwèi
Bored,无聊,Wúliáo
Excited,兴奋,Xīngfèn
Tired,累,Lèi
Happy,快乐,Kuàilè
Sad,难过,Nánguò
Angry,生气,Shēngqì
Hungry,饿,È
Thirsty,渴,Kě
Sick,生病,Shēngbìng
Healthy,健康,Jiànkāng
Strong,强壮,Qiángzhuàng
Weak,虚弱,Xūruò
Fast,快,Kuài
Slow,慢,Màn
Easy,容易,Róngyì
Difficult,困难,Kùnnán
Big,大,Dà
Small,小,Xiǎo
Tall,高,Gāo
Short,矮,Ǎi
Heavy,重,Zhòng
Light,轻,Qīng
Full,满,Mǎn
Empty,空的,Kōng de
New,新,Xīn
Old,旧,Jiù
Young,年轻,Niánqīng
Old (age),老,Lǎo
Early,早,Zǎo
Late,晚,Wǎn
